rate_date,from_currency,to_currency,exchange_rate
2025-11-14,EUR,USD,1.0984
2025-11-14,GBP,USD,1.2615
2025-11-14,EUR,GBP,0.8536
2025-11-15,EUR,USD,1.0901
2025-11-15,GBP,USD,1.2658
2025-11-15,EUR,GBP,0.8528
2025-11-16,EUR,USD,1.0981
2025-11-16,GBP,USD,1.283
2025-11-16,EUR,GBP,0.8483
2025-11-17,EUR,USD,1.0659
2025-11-17,GBP,USD,1.2737
2025-11-17,EUR,GBP,0.849
2025-11-18,EUR,USD,1.0998
2025-11-18,GBP,USD,1.2533
2025-11-18,EUR,GBP,0.8536
2025-11-19,EUR,USD,1.0707
2025-11-19,GBP,USD,1.2874
2025-11-19,EUR,GBP,0.8414
2025-11-20,EUR,USD,1.0612
2025-11-20,GBP,USD,1.2637
2025-11-20,EUR,GBP,0.8424
2025-11-21,EUR,USD,1.0763
2025-11-21,GBP,USD,1.2756
2025-11-21,EUR,GBP,0.8514
2025-11-22,EUR,USD,1.0934
2025-11-22,GBP,USD,1.2538
2025-11-22,EUR,GBP,0.8456
2025-11-23,EUR,USD,1.0997
2025-11-23,GBP,USD,1.2704
2025-11-23,EUR,GBP,0.8412
2025-11-24,EUR,USD,1.0679
2025-11-24,GBP,USD,1.2596
2025-11-24,EUR,GBP,0.8564
2025-11-25,EUR,USD,1.0832
2025-11-25,GBP,USD,1.2573
2025-11-25,EUR,GBP,0.8527
2025-11-26,EUR,USD,1.0824
2025-11-26,GBP,USD,1.2779
2025-11-26,EUR,GBP,0.84
2025-11-27,EUR,USD,1.0654
2025-11-27,GBP,USD,1.2883
2025-11-27,EUR,GBP,0.8541
2025-11-28,EUR,USD,1.0947
2025-11-28,GBP,USD,1.2704
2025-11-28,EUR,GBP,0.8468
2025-11-29,EUR,USD,1.0641
2025-11-29,GBP,USD,1.2891
2025-11-29,EUR,GBP,0.8478
2025-11-30,EUR,USD,1.0948
2025-11-30,GBP,USD,1.2799
2025-11-30,EUR,GBP,0.852
2025-12-01,EUR,USD,1.0734
2025-12-01,GBP,USD,1.2587
2025-12-01,EUR,GBP,0.8401
2025-12-02,EUR,USD,1.085
2025-12-02,GBP,USD,1.2886
2025-12-02,EUR,GBP,0.8421
2025-12-03,EUR,USD,1.0973
2025-12-03,GBP,USD,1.2748
2025-12-03,EUR,GBP,0.8513
2025-12-04,EUR,USD,1.0832
2025-12-04,GBP,USD,1.2799
2025-12-04,EUR,GBP,0.843
2025-12-05,EUR,USD,1.0609
2025-12-05,GBP,USD,1.275
2025-12-05,EUR,GBP,0.8577
2025-12-06,EUR,USD,1.0941
2025-12-06,GBP,USD,1.2792
2025-12-06,EUR,GBP,0.8532
2025-12-07,EUR,USD,1.0638
2025-12-07,GBP,USD,1.2663
2025-12-07,EUR,GBP,0.8566
2025-12-08,EUR,USD,1.0718
2025-12-08,GBP,USD,1.2716
2025-12-08,EUR,GBP,0.8411
2025-12-09,EUR,USD,1.0923
2025-12-09,GBP,USD,1.2697
2025-12-09,EUR,GBP,0.853
2025-12-10,EUR,USD,1.0701
2025-12-10,GBP,USD,1.2735
2025-12-10,EUR,GBP,0.8541
2025-12-11,EUR,USD,1.0869
2025-12-11,GBP,USD,1.2781
2025-12-11,EUR,GBP,0.8466
2025-12-12,EUR,USD,1.0613
2025-12-12,GBP,USD,1.2873
2025-12-12,EUR,GBP,0.8559
2025-12-13,EUR,USD,1.0771
2025-12-13,GBP,USD,1.2504
2025-12-13,EUR,GBP,0.8465
2025-12-14,EUR,USD,1.0806
2025-12-14,GBP,USD,1.2625
2025-12-14,EUR,GBP,0.8593
2025-12-15,EUR,USD,1.0745
2025-12-15,GBP,USD,1.2585
2025-12-15,EUR,GBP,0.8474
2025-12-16,EUR,USD,1.0935
2025-12-16,GBP,USD,1.2583
2025-12-16,EUR,GBP,0.8448
2025-12-17,EUR,USD,1.0678
2025-12-17,GBP,USD,1.2577
2025-12-17,EUR,GBP,0.8514
2025-12-18,EUR,USD,1.0921
2025-12-18,GBP,USD,1.2822
2025-12-18,EUR,GBP,0.8561
2025-12-19,EUR,USD,1.0743
2025-12-19,GBP,USD,1.2846
2025-12-19,EUR,GBP,0.8519
2025-12-20,EUR,USD,1.0601
2025-12-20,GBP,USD,1.2552
2025-12-20,EUR,GBP,0.8452
2025-12-21,EUR,USD,1.0849
2025-12-21,GBP,USD,1.2603
2025-12-21,EUR,GBP,0.8571
2025-12-22,EUR,USD,1.0834
2025-12-22,GBP,USD,1.2684
2025-12-22,EUR,GBP,0.8401
2025-12-23,EUR,USD,1.0867
2025-12-23,GBP,USD,1.2769
2025-12-23,EUR,GBP,0.8544
2025-12-24,EUR,USD,1.0825
2025-12-24,GBP,USD,1.2589
2025-12-24,EUR,GBP,0.858
2025-12-25,EUR,USD,1.0854
2025-12-25,GBP,USD,1.2744
2025-12-25,EUR,GBP,0.8467
2025-12-26,EUR,USD,1.0973
2025-12-26,GBP,USD,1.2804
2025-12-26,EUR,GBP,0.8443
2025-12-27,EUR,USD,1.0733
2025-12-27,GBP,USD,1.287
2025-12-27,EUR,GBP,0.8449
2025-12-28,EUR,USD,1.0761
2025-12-28,GBP,USD,1.2673
2025-12-28,EUR,GBP,0.8548
2025-12-29,EUR,USD,1.085
2025-12-29,GBP,USD,1.2812
2025-12-29,EUR,GBP,0.858
2025-12-30,EUR,USD,1.0797
2025-12-30,GBP,USD,1.2541
2025-12-30,EUR,GBP,0.8501
2025-12-31,EUR,USD,1.0721
2025-12-31,GBP,USD,1.2531
2025-12-31,EUR,GBP,0.8413
2026-01-01,EUR,USD,1.0964
2026-01-01,GBP,USD,1.2818
2026-01-01,EUR,GBP,0.8599
2026-01-02,EUR,USD,1.0957
2026-01-02,GBP,USD,1.2506
2026-01-02,EUR,GBP,0.845
2026-01-03,EUR,USD,1.0706
2026-01-03,GBP,USD,1.2862
2026-01-03,EUR,GBP,0.8452
2026-01-04,EUR,USD,1.0681
2026-01-04,GBP,USD,1.2746
2026-01-04,EUR,GBP,0.8443
2026-01-05,EUR,USD,1.0655
2026-01-05,GBP,USD,1.2579
2026-01-05,EUR,GBP,0.8454
2026-01-06,EUR,USD,1.0701
2026-01-06,GBP,USD,1.2726
2026-01-06,EUR,GBP,0.8598
2026-01-07,EUR,USD,1.0912
2026-01-07,GBP,USD,1.2899
2026-01-07,EUR,GBP,0.8554
2026-01-08,EUR,USD,1.0697
2026-01-08,GBP,USD,1.2688
2026-01-08,EUR,GBP,0.8518
2026-01-09,EUR,USD,1.0801
2026-01-09,GBP,USD,1.2584
2026-01-09,EUR,GBP,0.8573
2026-01-10,EUR,USD,1.0844
2026-01-10,GBP,USD,1.2583
2026-01-10,EUR,GBP,0.8416
2026-01-11,EUR,USD,1.0611
2026-01-11,GBP,USD,1.2666
2026-01-11,EUR,GBP,0.8427
2026-01-12,EUR,USD,1.0837
2026-01-12,GBP,USD,1.2585
2026-01-12,EUR,GBP,0.8594
2026-01-13,EUR,USD,1.0634
2026-01-13,GBP,USD,1.269
2026-01-13,EUR,GBP,0.8419
2026-01-14,EUR,USD,1.0612
2026-01-14,GBP,USD,1.2504
2026-01-14,EUR,GBP,0.8408
2026-01-15,EUR,USD,1.0691
2026-01-15,GBP,USD,1.2879
2026-01-15,EUR,GBP,0.8557
2026-01-16,EUR,USD,1.0833
2026-01-16,GBP,USD,1.2509
2026-01-16,EUR,GBP,0.8583
2026-01-17,EUR,USD,1.072
2026-01-17,GBP,USD,1.2574
2026-01-17,EUR,GBP,0.8549
2026-01-18,EUR,USD,1.0958
2026-01-18,GBP,USD,1.2894
2026-01-18,EUR,GBP,0.8416
2026-01-19,EUR,USD,1.0815
2026-01-19,GBP,USD,1.2813
2026-01-19,EUR,GBP,0.8479
2026-01-20,EUR,USD,1.073
2026-01-20,GBP,USD,1.288
2026-01-20,EUR,GBP,0.8421
2026-01-21,EUR,USD,1.065
2026-01-21,GBP,USD,1.2849
2026-01-21,EUR,GBP,0.8557
2026-01-22,EUR,USD,1.0777
2026-01-22,GBP,USD,1.2615
2026-01-22,EUR,GBP,0.8537
2026-01-23,EUR,USD,1.0998
2026-01-23,GBP,USD,1.2749
2026-01-23,EUR,GBP,0.8523
2026-01-24,EUR,USD,1.0727
2026-01-24,GBP,USD,1.2688
2026-01-24,EUR,GBP,0.8439
2026-01-25,EUR,USD,1.0842
2026-01-25,GBP,USD,1.2694
2026-01-25,EUR,GBP,0.8563
2026-01-26,EUR,USD,1.0741
2026-01-26,GBP,USD,1.2572
2026-01-26,EUR,GBP,0.8483
2026-01-27,EUR,USD,1.0655
2026-01-27,GBP,USD,1.2857
2026-01-27,EUR,GBP,0.8518
2026-01-28,EUR,USD,1.0775
2026-01-28,GBP,USD,1.2838
2026-01-28,EUR,GBP,0.8524
2026-01-29,EUR,USD,1.0617
2026-01-29,GBP,USD,1.2815
2026-01-29,EUR,GBP,0.8444
2026-01-30,EUR,USD,1.0621
2026-01-30,GBP,USD,1.2887
2026-01-30,EUR,GBP,0.847
2026-01-31,EUR,USD,1.0767
2026-01-31,GBP,USD,1.2847
2026-01-31,EUR,GBP,0.8494
2026-02-01,EUR,USD,1.0638
2026-02-01,GBP,USD,1.2525
2026-02-01,EUR,GBP,0.8416
2026-02-02,EUR,USD,1.0986
2026-02-02,GBP,USD,1.2755
2026-02-02,EUR,GBP,0.844
2026-02-03,EUR,USD,1.0954
2026-02-03,GBP,USD,1.2894
2026-02-03,EUR,GBP,0.8585
2026-02-04,EUR,USD,1.0924
2026-02-04,GBP,USD,1.2787
2026-02-04,EUR,GBP,0.8597
2026-02-05,EUR,USD,1.0853
2026-02-05,GBP,USD,1.2538
2026-02-05,EUR,GBP,0.8481
2026-02-06,EUR,USD,1.0687
2026-02-06,GBP,USD,1.2537
2026-02-06,EUR,GBP,0.8438
2026-02-07,EUR,USD,1.0856
2026-02-07,GBP,USD,1.2862
2026-02-07,EUR,GBP,0.8586
2026-02-08,EUR,USD,1.0707
2026-02-08,GBP,USD,1.2667
2026-02-08,EUR,GBP,0.8531
2026-02-09,EUR,USD,1.0678
2026-02-09,GBP,USD,1.2865
2026-02-09,EUR,GBP,0.8589
2026-02-10,EUR,USD,1.0828
2026-02-10,GBP,USD,1.2728
2026-02-10,EUR,GBP,0.8591
2026-02-11,EUR,USD,1.088
2026-02-11,GBP,USD,1.2796
2026-02-11,EUR,GBP,0.8445
2026-02-12,EUR,USD,1.0852
2026-02-12,GBP,USD,1.2626
2026-02-12,EUR,GBP,0.8534
2026-02-13,EUR,USD,1.0987
2026-02-13,GBP,USD,1.2772
2026-02-13,EUR,GBP,0.8494
2026-02-14,EUR,USD,1.0859
2026-02-14,GBP,USD,1.2532
2026-02-14,EUR,GBP,0.8598
2026-02-15,EUR,USD,1.0898
2026-02-15,GBP,USD,1.2812
2026-02-15,EUR,GBP,0.8422
2026-02-16,EUR,USD,1.0913
2026-02-16,GBP,USD,1.2612
2026-02-16,EUR,GBP,0.8431
2026-02-17,EUR,USD,1.0673
2026-02-17,GBP,USD,1.268
2026-02-17,EUR,GBP,0.8586
2026-02-18,EUR,USD,1.079
2026-02-18,GBP,USD,1.2608
2026-02-18,EUR,GBP,0.8479
2026-02-19,EUR,USD,1.0646
2026-02-19,GBP,USD,1.2685
2026-02-19,EUR,GBP,0.8577
2026-02-20,EUR,USD,1.0753
2026-02-20,GBP,USD,1.283
2026-02-20,EUR,GBP,0.8481
2026-02-21,EUR,USD,1.0639
2026-02-21,GBP,USD,1.2644
2026-02-21,EUR,GBP,0.8547
2026-02-22,EUR,USD,1.0933
2026-02-22,GBP,USD,1.2511
2026-02-22,EUR,GBP,0.8565
2026-02-23,EUR,USD,1.0637
2026-02-23,GBP,USD,1.2779
2026-02-23,EUR,GBP,0.8523
2026-02-24,EUR,USD,1.0726
2026-02-24,GBP,USD,1.2784
2026-02-24,EUR,GBP,0.8587
2026-02-25,EUR,USD,1.0603
2026-02-25,GBP,USD,1.289
2026-02-25,EUR,GBP,0.8567
2026-02-26,EUR,USD,1.0718
2026-02-26,GBP,USD,1.2741
2026-02-26,EUR,GBP,0.8582
2026-02-27,EUR,USD,1.0857
2026-02-27,GBP,USD,1.2615
2026-02-27,EUR,GBP,0.8415
2026-02-28,EUR,USD,1.0788
2026-02-28,GBP,USD,1.2817
2026-02-28,EUR,GBP,0.8443
2026-03-01,EUR,USD,1.0975
2026-03-01,GBP,USD,1.2756
2026-03-01,EUR,GBP,0.8409
2026-03-02,EUR,USD,1.0892
2026-03-02,GBP,USD,1.2641
2026-03-02,EUR,GBP,0.8586
2026-03-03,EUR,USD,1.085
2026-03-03,GBP,USD,1.2556
2026-03-03,EUR,GBP,0.8553
2026-03-04,EUR,USD,1.0997
2026-03-04,GBP,USD,1.2891
2026-03-04,EUR,GBP,0.8541
2026-03-05,EUR,USD,1.0731
2026-03-05,GBP,USD,1.2869
2026-03-05,EUR,GBP,0.8579
2026-03-06,EUR,USD,1.0723
2026-03-06,GBP,USD,1.2852
2026-03-06,EUR,GBP,0.8532
2026-03-07,EUR,USD,1.0889
2026-03-07,GBP,USD,1.2754
2026-03-07,EUR,GBP,0.8546
2026-03-08,EUR,USD,1.0851
2026-03-08,GBP,USD,1.2763
2026-03-08,EUR,GBP,0.8531
2026-03-09,EUR,USD,1.0902
2026-03-09,GBP,USD,1.2832
2026-03-09,EUR,GBP,0.8514
2026-03-10,EUR,USD,1.0721
2026-03-10,GBP,USD,1.2637
2026-03-10,EUR,GBP,0.8403
2026-03-11,EUR,USD,1.0804
2026-03-11,GBP,USD,1.2597
2026-03-11,EUR,GBP,0.8533
2026-03-12,EUR,USD,1.0612
2026-03-12,GBP,USD,1.2638
2026-03-12,EUR,GBP,0.8532
2026-03-13,EUR,USD,1.0872
2026-03-13,GBP,USD,1.2625
2026-03-13,EUR,GBP,0.8554
2026-03-14,EUR,USD,1.0835
2026-03-14,GBP,USD,1.2653
2026-03-14,EUR,GBP,0.856
2026-03-15,EUR,USD,1.0661
2026-03-15,GBP,USD,1.2763
2026-03-15,EUR,GBP,0.8555
2026-03-16,EUR,USD,1.0663
2026-03-16,GBP,USD,1.2833
2026-03-16,EUR,GBP,0.8502
2026-03-17,EUR,USD,1.08
2026-03-17,GBP,USD,1.27
2026-03-17,EUR,GBP,0.8504
